name,unit_info,price,usual_price,discount,description,url,image,categories,store
Danish Chef Cheese spread alpenkruiden,85 g,1.39,1.39,null,Smeerkaas 40+,"https://www.dirk.nl/boodschappen/zuivel-kaas/overige-kazen/danish-chef-cheese-spread-alpenkruiden/375
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/589_1_11678_637172082169051260.png?width=500&height=500&mode=crop,Zuivel kaas/Overige kazen/Danish chef cheese spread alpenkruiden,Dirk
Dhillon Santen cocoscrème,200 g,1.35,1.35,null,cocoscreme santen geconcentreerd,"https://www.dirk.nl/boodschappen/voorraadkast/internationale-keuken/dhillon-santen-cocoscr%C3%A8me/384
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1623_1_117545_637170957242491313.png?width=500&height=500&mode=crop,Voorraadkast/Internationale keuken/Dhillon santen cocoscrème,Dirk
Culi d'Or Moorkopsoesjes 12 stuks,200 g,1.79,1.79,null,Soesjes omhuld met Belgische melkchocolade en gevuld met een romige crème - diepgevroren,"https://www.dirk.nl/boodschappen/diepvries/diepvries-brood-gebak/culi-d-or-moorkopsoesjes-12-stuks/387
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/21399_1_118014_637175538209263422.png?width=500&height=500&mode=crop,Diepvries/Diepvries brood gebak/Culi d or moorkopsoesjes 12 stuks,Dirk
Pickwick Spices Turkish Apple zwarte thee,20 zakjes,1.95,1.95,null,"Gearomatiseerde zwarte thee met appel, kaneel en vanille.","https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/thee/pickwick-spices-turkish-apple-zwarte-thee/388
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/56644_1_118036_638067087671886168.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Thee/Pickwick spices turkish apple zwarte thee,Dirk
Zwitsal Zeep crème 4 stuks,360 g,3.69,3.69,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/kind-drogisterij/babyverzorging/zwitsal-zeep-cr%C3%A8me-4-stuks/414
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/149441_1_118772_638115381062160966.png?width=500&height=500&mode=crop,Kind drogisterij/Babyverzorging/Zwitsal zeep crème 4 stuks,Dirk
Silvo Mix voor biefstuk,12 g,59,1.19,-57.81,Mix voor Biefstuk,"https://www.dirk.nl/boodschappen/voorraadkast/kruiden-specerijen/silvo-mix-voor-biefstuk/418
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/2548_1_119197_637867368657185739.png?width=500&height=500&mode=crop,Voorraadkast/Kruiden specerijen/Silvo mix voor biefstuk,Dirk
Lu Prince start naturel,4 x 6 stuks,2.39,2.39,null,"Biscuits met granen, chocoladestukjes en melk, verrijkt met magnesium, ijzer en vitamines E en B1.","https://www.dirk.nl/boodschappen/brood-beleg-koek/koekjes/lu-prince-start-naturel/422
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/125181_1_11931_637922727012885989.png?width=500&height=500&mode=crop,Brood beleg koek/Koekjes/Lu prince start naturel,Dirk
Brunswick Sardines in sojaolie,106 g,1.39,1.39,null,Sardines in Soja Olie,"https://www.dirk.nl/boodschappen/vlees-vis/visconserven/brunswick-sardines-in-sojaolie/427
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1439_1_119819_637647291638855665.png?width=500&height=500&mode=crop,Vlees vis/Visconserven/Brunswick sardines in sojaolie,Dirk
Yummy Noodles garnaal - kip,70 g,1.15,1.15,null,Noodles,"https://www.dirk.nl/boodschappen/maaltijden-salades-tapas/houdbare-maaltijden/yummy-noodles-garnaal-kip/431
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/4449_1_120322_638173215620849608.png?width=500&height=500&mode=crop,Maaltijden salades tapas/Houdbare maaltijden/Yummy noodles garnaal kip,Dirk
"Krüger Sugarel zoetjes tafeldispenser, 1200 stuks",108 g,98,98,null,Tafelzoetstoftabletten op basis van natriumcyclamaat en natriumsacharine.,"https://www.dirk.nl/boodschappen/voorraadkast/bakproducten-suiker/kr%C3%BCger-sugarel-zoetjes-tafeldispenser-1200-stuks/433
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1530_1_120391_637828686696474131.png?width=500&height=500&mode=crop,Voorraadkast/Bakproducten suiker/Krüger sugarel zoetjes tafeldispenser 1200 stuks,Dirk
Elinas Yoghurt Griekse stijl honing 4 stuks,600 g,1.59,1.59,null,"Yoghurtproduct op Griekse wijze met suiker en 6,4% honing, 9,4% vet in melkaandeel.","https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/elinas-yoghurt-griekse-stijl-honing-4-stuks/435
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/2618_1_120435_637182189227262835.png?width=500&height=500&mode=crop,Zuivel kaas/Yoghurt kwark pap/Elinas yoghurt griekse stijl honing 4 stuks,Dirk
"Mona Vlaflip vanillevla yoghurt, 2 stuks",380 g,99,99,null,"Vlaflip vanillesmaak met aardbeiensaus: 46% frisse vanillevla (1,2% vet), 46% yoghurt met suiker (1,2% vet), 8% aardbeiensaus","https://www.dirk.nl/boodschappen/zuivel-kaas/vla/mona-vlaflip-vanillevla-yoghurt-2-stuks/436
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/13819_1_12068_637826184039627709.png?width=500&height=500&mode=crop,Zuivel kaas/Vla/Mona vlaflip vanillevla yoghurt 2 stuks,Dirk
Pickwick Pickwick English zwarte thee,20 zakjes,1.09,1.09,null,100% zwarte thee,"https://www.dirk.nl/boodschappen/dranken-sap-koffie-thee/thee/pickwick-pickwick-english-zwarte-thee/437
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/56645_1_120688_637846875711019308.png?width=500&height=500&mode=crop,Dranken sap koffie thee/Thee/Pickwick pickwick english zwarte thee,Dirk
Casa Del Sud Ravioli bolognese,400 g,89,89,null,Ravioli Bolognese met rundvlees,"https://www.dirk.nl/boodschappen/voorraadkast/pasta-pasta-sauzen/casa-del-sud-ravioli-bolognese/441
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/1411_1_121020_637181469235614707.png?width=500&height=500&mode=crop,Voorraadkast/Pasta pasta sauzen/Casa del sud ravioli bolognese,Dirk
Farmlight Brandgel,1 liter,2.59,2.59,null,"Dirk doet er alles aan om de prijs- en productinformatie van onze producten zo accuraat mogelijk te houden. Echter, producten worden vaak verbeterd en daardoor kan informatie geregeld veranderen. Daarom raden we je aan om altijd de verpakking te lezen van het werkelijke product. Zijn er vragen of opmerkingen? Neem dan gerust contact op met onze klantenservice.","https://www.dirk.nl/boodschappen/huishoud-huisdieren/lampen-batterijen/farmlight-brandgel/442
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/540_1_12109_637181577124339847.png?width=500&height=500&mode=crop,Huishoud huisdieren/Lampen batterijen/Farmlight brandgel,Dirk
Chocolade muffin,Per stuk,79,79,null,Muffin met 14% chocoladestukjes,"https://www.dirk.nl/boodschappen/brood-beleg-koek/afgebakken-brood-snacks/chocolade-muffin/443
",https://d3r3h30p75xj6a.cloudfront.net/artikelen/2691_1_121110_638045461242465302.png?width=500&height=500&mode=crop,Brood beleg koek/Afgebakken brood snacks/Chocolade muffin,Dirk
