name,price,usual_price,discount,description,url,image,categories,store
Grand' Italia Penne tradizionali,1.95,1.95,null,Prodotto italiano - gemaakt in zuid-italie Gemaakt van 100% durum tarwe Heerlijke smaak en 'al dente' bite Holle 'ganzeveer' pasta Vegan,"https://www.ah.nl/producten/product/wi2065/grand-italia-penne-tradizionali
",https://static.ah.nl/dam/product/AHI_43545239353536313837?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Pasta, rijst, noedels/Pasta/Penne, rigatoni/Penne",Albert Heijn
Grand' Italia Pipe rigate tradizionali,1.95,1.95,null,Prodotto italiano - gemaakt in zuid-italie Gemaakt van 100% durum tarwe Heerlijke smaak en 'al dente' bite Schelpvormige pasta Vegan,"https://www.ah.nl/producten/product/wi2072/grand-italia-pipe-rigate-tradizionali
",https://static.ah.nl/dam/product/AHI_43545239353536313530?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Pasta, rijst, noedels/Pasta/Farfalle, schelpjes, orecchiette/Schelpjes, conchigliette, orecchiette",Albert Heijn
Grand' Italia Fusilli tradizionali,1.95,1.95,null,Prodotto italiano - gemaakt in zuid-italie Gemaakt van 100% durum tarwe Heerlijke smaak en 'al dente' bite Spiraalvormige pasta Vegan,"https://www.ah.nl/producten/product/wi2073/grand-italia-fusilli-tradizionali
",https://static.ah.nl/dam/product/AHI_43545239353536323930?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Pasta, rijst, noedels/Pasta/Fusilli, casareccia",Albert Heijn
Grand' Italia Spaghetti tradizionali,1.95,1.95,null,Prodotto italiano - gemaakt in zuid-italie Gemaakt van 100% durum tarwe Heerlijke smaak en 'al dente' bite Sliertpasta Vegan,"https://www.ah.nl/producten/product/wi2090/grand-italia-spaghetti-tradizionali
",https://static.ah.nl/dam/product/AHI_43545239353536333334?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Pasta, rijst, noedels/Pasta/Spaghetti, linguine/Spaghetti",Albert Heijn
Grand' Italia Tagliatelle all'uovo,3.45,3.45,null,"Prodotto italiano - gemaakt in zuid-italie Gemaakt van 100% durum tarwe en vrije uitloop eieren Heerlijke volle smaak en 'al dente' bite Lange, platte pasta Vega","https://www.ah.nl/producten/product/wi2091/grand-italia-tagliatelle-all-uovo
",https://static.ah.nl/dam/product/AHI_43545239353537323036?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Pasta, rijst, noedels/Pasta/Tagliatelle, pappardelle/Tagliatelle",Albert Heijn
Honig Basis voor lasagnesaus,1.86,1.86,null,Lasagnesaus voor 3 a 4 personen Bereidingstijd: 50 minuten inclusief oventijd Met natuurlijke ingredienten: gedroogde groenten en kruiden Varieer met je favoriete groenten,"https://www.ah.nl/producten/product/wi2110/honig-basis-voor-lasagnesaus
",https://static.ah.nl/dam/product/AHI_43545239393039313238?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Maaltijdpakketten, mixen/Maaltijdmixen/Italiaanse mix",Albert Heijn
Honig Basis voor nasi speciaal,1.99,1.99,null,"Nasi speciaal voor 3 a 4 personen Bereidingstijd: 20 minuten Zelf toevoegen: rijst, kipfilet, nasi groenten, paprika, 150 ml water Varieer met je favoriete groenten Vega","https://www.ah.nl/producten/product/wi2128/honig-basis-voor-nasi-speciaal
",https://static.ah.nl/dam/product/AHI_43545239393237373932?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Maaltijdpakketten, mixen/Maaltijdmixen/Indonesische mix",Albert Heijn
Zonnatura Wortelsap,2.29,2.29,null,Biologisch 100% wortelen Van nature rijk aan vitamine a Een glas (200 ml) wortelsap bevat 60 kcal VeganBiologisch,"https://www.ah.nl/producten/product/wi2194/zonnatura-wortelsap
",https://static.ah.nl/dam/product/AHI_43545239353439313830?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Frisdrank, sappen, koffie, thee/Groentesappen & drank/Wortelsap",Albert Heijn
Conimex Mix voor nasi,0.79,0.79,null,Op basis van authentiek indonesisch recept Geeft smaak aan je nasi gerecht Gemakkelijk in gebruik Zonder kunstmatige kleurstoffen Vegan,"https://www.ah.nl/producten/product/wi2199/conimex-mix-voor-nasi
",https://static.ah.nl/dam/product/AHI_43545239383931373339?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Soepen, sauzen, kruiden, olie/Kruiden/Maaltijd Kruidenmixen",Albert Heijn
Grand' Italia Lasagne tradizionali,2.59,2.59,null,Prodotto italiano - gemaakt in zuid-italie Gemaakt van 100% durum tarwe Heerlijke smaak en 'al dente' bite Perfect voor een traditioneel italiaans ovengerecht Vegan,"https://www.ah.nl/producten/product/wi2207/grand-italia-lasagne-tradizionali
",https://static.ah.nl/dam/product/AHI_43545239353733323335?revLabel=4&rendition=800x800_JPG_Q90&fileType=binary,"Home/Producten/Pasta, rijst en wereldkeuken/Pasta, rijst, noedels/Pasta/Lasagnebladen",Albert Heijn
